menu_import
Название,Категория,Цена,Цех,Тип,Фото
Абрикос сок 200 мл Bliss,Напитки,6000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/4872/030f4db5-4914-4cc3-9656-631c6f3d2dca.jpg
Апельсин сок 200 мл Bliss,Напитки,7000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/1561/750x750-7f370ca2-4e90-4bbe-a8a9-5882b135abca.jpg
Апельсин сок 1л,Напитки,25000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/5887/750x750-cac5499d-1d6e-45a6-b48a-789a71fd48fc.jpg
Банан сок 200 мл Bliss,Напитки,6000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_7JyXeG7kbKG8NDnfDEI4LFk0vT5j4-mu6g&s
Вишня сок 200 мл Bliss,Напитки,6000,Sushi-XL,Без модификаций,https://uzum.uz/ru/product/sok-bliss-smile-vishnya-200-ml-459097?srsltid=AfmBOopre9fKO9vo21OSLNlKY7cwt0YTIajv2XX23amrSTYNh-FZ8YCS
Вишня сок 1л,Напитки,25000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlodjwp7duweS6NPhpZXwErs3WDmQublX78w&s
"Вода без газа 0,5",Напитки,3000,Sushi-XL,Без модификаций,https://api.kansler.uz/media/managers/store/products/product-48c524e4a3bd4159bf45f9fe0a0fe8ea.png
"Вода без газа 1,5",Напитки,5000,Sushi-XL,Без модификаций,https://nur-rest.com/images/product/mobile-thumbs/2025/2025-03-07/67caba04f29b1.jpg
Мультифрукт сок 1л,Напитки,25000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/419/750x750-51743986-d107-4f8e-a86f-63b063c63dba.jpg
Несквик клубника 200мл,Напитки,7000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/assets/68e3a1e984261fa042b830af
Несквик шоколад 200мл,Напитки,7000,Sushi-XL,Без модификаций,https://images.uzum.uz/ces1f9ol08k0o9qhb2m0/t_product_low.jpg
Одноразовый стакан,Напитки,500,Sushi-XL,Без модификаций,
Персик сок 200 мл Bliss,Напитки,6000,Sushi-XL,Без модификаций,https://api.lochin.uz/media/file/image/2021-03/495cdc78-88c3-49e4-b8c4-1baed1d6dcc2.jpg.500x500_q85_crop-scale.jpg
"Фанта 0,5",Напитки,8000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/49/750x750-4267ed8b-2de7-4225-bc7b-a70cf151717f.jpg
Фанта 1л,Напитки,11000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/49/750x750-4267ed8b-2de7-4225-bc7b-a70cf151717f.jpg
"Фанта 1,5",Напитки,15000,Sushi-XL,Без модификаций,https://dostavo4ka.uz/upload-file/2021/05/05/49/750x750-4267ed8b-2de7-4225-bc7b-a70cf151717f.jpg
Аляска 4 шт,Роллы,55000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuS6xEmRyS9eIwWPz7ImPEgvGs1J_XmUmn6Q&s
